русский,английский
фрукт,fruit
абрикос,apricot
ананас,pineapple
банан,banana
бергамот,bergamot
виноград,grape
грейпфрут,grapefruit
груша,pear
дыня,melon
лимон,lemon
мандарин,mandarin
персик,peach
слива,plum
яблоко,apple
лайм,lime
киви,kiwi
инжир,fig
манго,mango
хурма,persimmon
помело,pomelo
овощ,vegetable
базилик,basil
баклажаны,eggplant
бобы,bean
горох,pea
капуста,cabbage
картофель,potato
лук,onion
морковь,carrot
огурец,cucumber
перец,pepper
петрушка,parsley
помидор,tomato
редис,radish
свекла,beet
сельдерей,celery
тыква,pumpkin
укроп,dill
фасоль,haricot
чеснок,garlic
щавель,sorrel
семья,family
мама,mother
папа,father
родители,parents
сын,son
дочь,daughter
дети,children
сестра,sister
брат,brother
бабушка,grandmother
дедушка,grandfather
дедушка и бабушка,grandparents
прабабушка,great-grandmother
прадедушка,great-grandfather
внук,grandson
внучка,granddaughter
тётя,aunt
дядя,uncle
племянница,niece
племянник,nephew
человек (мужчина),man
женщина,woman
тело,body
голова,head
плечо,shoulder
рука,arm
рука (кисть),hand
локоть,elbow
грудная клетка,chest
желудок,stomach
спина,back
зад,bottom
бедро,thigh
талия,waist
нога,leg
колено,knee
икра (икры ног),calf (calves)
ступня (ступни),foot (feet)
лодыжка,ankle
пятка,heel
питание (еда),food
ветчина,ham
колбаса,sausage
сосиски,sausages
мясо,meat
яйцо,egg
пицца,pizza
суп,soup
хлеб,bread
молоко,milk
каша,porridge
мука,flour
чеснок,garlic
салат,salad
рыба,fish
цыплёнок,chicken
свинина,pork
говядина,beef
бифштекс (стейк),steak
специя (пряность),spice
масло,butter
картофель,potato
макароны,macaroni
сыр,cheese
рис,rice
паста,pasta
кетчуп,ketchup
соус,sauce
майонез,mayonnaise
фасоль,bean
перец,pepper
соль,salt
бутерброд,sandwich
котлета,cutlet
икра,caviar
овощи,vegetables
фрукт,fruit
печёный (выпеченный),baked
жареный,fried
соленые огурцы,pickled cucumbers
маринованные помидоры,marinated tomatoes
чай,tea
кофе,coffee
какао,cocoa
шоколад,chocolate
варенье; джем,jam
сахар,sugar
конфета,candy
кекс (торт),cake
печенье,cookie
французский рогалик,croissant
коктейль,cocktail
сок,juice
желе,jelly
мороженое,ice cream
блин,pancake
пирог,pie
сладкий (о вкусе),sweet
горький (на вкус),bitter
солёный (о вкусе),salted
кислый (на вкус),sour
материал,material
камень,stone
бетон,concrete
кирпич,brick
металл,metal
резина,rubber
стекло,glass
древесина,wood
пластик,plastic
бумага,paper
картон,carton
гипс,gypsum
глина,clay
кожа,leather
ткань,cloth
шерсть,wool
шелк,silk
песок,sand
вода,water
внешность,appearance
худой,thin
толстый,fat
высокий,tall
невысокий,short
слабый,weak
сильный,strong
стройный,slim
полный,plump
тощий,skinny
старый,old
молодой,young
волосатый,hairy
лысый,bald
кудрявый,curly
прямые,straight
красивая,pretty
красивый,handsome
уродливый,ugly
характер,character
умный,clever
талантливый,talented
активный,active
творческий,creative
энергичный,energetic
глупый,stupid
внимательный,considerate
жестокий,cruel
злой,unkind
вежливый,polite
грубый,rude
добрый,kind
тактичный,tactful
женатый (замужняя),married
холостяк (незамужняя),single
щедрый,generous
жадный,greedy
богатый (состоятельный),rich
бедный (малоимущий),poor
